ISIN CODE,INDUSTRY,QUANTITY,MARKET VALUE,% OF PORTFOLIO,COMPANY NAME,MONTH,YEAR,FUND NAME
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,650040101.1,0.0806,ACC LTD.,8,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,682814875.95,0.0846,ACC LTD.,9,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,675649368.9,0.0822,ACC LTD.,10,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,724535934.75,0.086,ACC LTD.,11,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,690149980.8,0.0814,ACC LTD.,12,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,556365582.9,0.0651,ACC LTD.,1,2023,SBI
INE742F01042,,835736,703815072.4,0.0872,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,8,2022,SBI
INE742F01042,,764145,627095594.25,0.0777,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,9,2022,SBI
INE742F01042,,764145,629311614.75,0.0766,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,10,2022,SBI
INE742F01042,,745836,657081516.0,0.078,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,11,2022,SBI
INE742F01042,,797225,652209772.5,0.0769,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,12,2022,SBI
INE742F01042,,1051791,644379756.15,0.0754,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,1,2023,SBI
INE540L01014,,43351,128954052.15,0.016,ALKEM LABORATORIES LTD.,8,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,1051133,432278446.25,0.0536,AMBUJA CEMENTS LTD.,8,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,452842714.8,0.0561,AMBUJA CEMENTS LTD.,9,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,468080924.85,0.0569,AMBUJA CEMENTS LTD.,10,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,501280022.25,0.0595,AMBUJA CEMENTS LTD.,11,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,460308120.3,0.0543,AMBUJA CEMENTS LTD.,12,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,352367139.6,0.0413,AMBUJA CEMENTS LTD.,1,2023,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,203334,878992548.6,0.109,APOLLO HOSPITALS ENTERPRISE LTD.,8,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,189532,830794568.8,0.1029,APOLLO HOSPITALS ENTERPRISE LTD.,9,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,190532,860728310.0,0.1047,APOLLO HOSPITALS ENTERPRISE LTD.,10,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,204670,967352288.0,0.1148,APOLLO HOSPITALS ENTERPRISE LTD.,11,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,192543,862130536.8,0.1016,APOLLO HOSPITALS ENTERPRISE LTD.,12,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,192543,819443753.7,0.0959,APOLLO HOSPITALS ENTERPRISE LTD.,1,2023,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,2043790,314743660.0,0.039,ASHOK LEYLAND LTD.,8,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,2356603,359735447.95,0.0446,ASHOK LEYLAND LTD.,9,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,3457002,529958406.6,0.0645,ASHOK LEYLAND LTD.,10,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,3882002,577641897.6,0.0686,ASHOK LEYLAND LTD.,11,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,4333983,621493162.2,0.0733,ASHOK LEYLAND LTD.,12,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,4569983,683212458.5,0.08,ASHOK LEYLAND LTD.,1,2023,SBI
INE021A01026,PAINTS / VARNISHES,504775,1711994890.0,0.2122,ASIAN PAINTS LTD.,8,2022,SBI
INE021A01026,PAINTS / VARNISHES,507190,1695257215.5,0.2101,ASIAN PAINTS LTD.,9,2022,SBI
INE021A01026,PAINTS / VARNISHES,507190,1576194363.0,0.1917,ASIAN PAINTS LTD.,10,2022,SBI
INE021A01026,PAINTS / VARNISHES,525105,1667287140.75,0.1979,ASIAN PAINTS LTD.,11,2022,SBI
INE021A01026,PAINTS / VARNISHES,525105,1621471729.5,0.1912,ASIAN PAINTS LTD.,12,2022,SBI
INE021A01026,PAINTS / VARNISHES,565569,1541656258.65,0.1805,ASIAN PAINTS LTD.,1,2023,SBI
INE006I01046,PLASTIC PRODUCTS - INDUSTRIAL,6885,13521451.5,0.0016,ASTRAL LTD.,12,2022,SBI
INE006I01046,PLASTIC PRODUCTS - INDUSTRIAL,108832,223399446.4,0.0262,ASTRAL LTD.,1,2023,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5244026,3940885539.0,0.4885,AXIS BANK LTD.,8,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5421516,3975055531.2,0.4925,AXIS BANK LTD.,9,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5223323,4732330638.0,0.5757,AXIS BANK LTD.,10,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5223323,4707519853.75,0.5589,AXIS BANK LTD.,11,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5221985,4876028493.75,0.5749,AXIS BANK LTD.,12,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5221985,4551482126.0,0.5329,AXIS BANK LTD.,1,2023,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,213189,870845086.65,0.1079,BAJAJ AUTO LTD.,8,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,239498,844889069.5,0.1047,BAJAJ AUTO LTD.,9,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,250869,921153337.65,0.1121,BAJAJ AUTO LTD.,10,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,989689707.6,0.1175,BAJAJ AUTO LTD.,11,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,954159881.4,0.1125,BAJAJ AUTO LTD.,12,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,1007513991.0,0.118,BAJAJ AUTO LTD.,1,2023,SBI
INE296A01024,FINANCE - MEDIUM,309380,2260407625.0,0.2802,BAJAJ FINANCE LTD.,8,2022,SBI
INE296A01024,FINANCE - MEDIUM,309397,2269659042.75,0.2812,BAJAJ FINANCE LTD.,9,2022,SBI
INE296A01024,FINANCE - MEDIUM,328789,2348901494.9,0.2858,BAJAJ FINANCE LTD.,10,2022,SBI
INE296A01024,FINANCE - MEDIUM,339202,2279759681.9,0.2706,BAJAJ FINANCE LTD.,11,2022,SBI
INE296A01024,FINANCE - MEDIUM,354662,2331973582.4,0.2749,BAJAJ FINANCE LTD.,12,2022,SBI
INE296A01024,FINANCE - MEDIUM,363662,2140659996.8,0.2506,BAJAJ FINANCE LTD.,1,2023,SBI
INE918I01026,FINANCE - LARGE,768686,1290124148.1,0.1599,BAJAJ FINSERV LTD.,9,2022,SBI
INE918I01026,FINANCE - LARGE,768686,1297157625.0,0.1578,BAJAJ FINSERV LTD.,10,2022,SBI
INE918I01026,FINANCE - LARGE,734099,1194012023.5,0.1417,BAJAJ FINSERV LTD.,11,2022,SBI
INE918I01026,FINANCE - LARGE,736934,1140663291.9,0.1345,BAJAJ FINSERV LTD.,12,2022,SBI
INE918I01026,FINANCE - LARGE,914440,1227589978.0,0.1437,BAJAJ FINSERV LTD.,1,2023,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5852500,765799625.0,0.0949,BANK OF BARODA,8,2022,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5852500,774871000.0,0.096,BANK OF BARODA,9,2022,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5852500,864414250.0,0.1052,BANK OF BARODA,10,2022,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5566358,925407017.5,0.1099,BANK OF BARODA,11,2022,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5566358,1033672680.6,0.1219,BANK OF BARODA,12,2022,SBI
INE028A01039,BANKS - PUBLIC SECTOR,5856358,982989690.3,0.1151,BANK OF BARODA,1,2023,SBI
INE176A01028,,118667,230362313.75,0.0286,BATA INDIA LTD.,8,2022,SBI
INE176A01028,,118667,216151940.5,0.0268,BATA INDIA LTD.,9,2022,SBI
INE176A01028,,131188,239857579.8,0.0292,BATA INDIA LTD.,10,2022,SBI
INE176A01028,,164551,282673935.35,0.0336,BATA INDIA LTD.,11,2022,SBI
INE176A01028,,164551,271369281.65,0.032,BATA INDIA LTD.,12,2022,SBI
INE176A01028,,164551,251656071.85,0.0295,BATA INDIA LTD.,1,2023,SBI
INE263A01024,ELECTRONICS - OTHERS,1848522,566571993.0,0.0702,BHARAT ELECTRONICS LTD.,8,2022,SBI
INE263A01024,ELECTRONICS - OTHERS,5545566,559824887.7,0.0694,BHARAT ELECTRONICS LTD.,9,2022,SBI
INE263A01024,ELECTRONICS - OTHERS,5545566,592543727.1,0.0721,BHARAT ELECTRONICS LTD.,10,2022,SBI
INE263A01024,ELECTRONICS - OTHERS,5313765,558476701.5,0.0663,BHARAT ELECTRONICS LTD.,11,2022,SBI
INE263A01024,ELECTRONICS - OTHERS,6007540,600153246.0,0.0708,BHARAT ELECTRONICS LTD.,12,2022,SBI
INE263A01024,ELECTRONICS - OTHERS,7511297,713197650.15,0.0835,BHARAT ELECTRONICS LTD.,1,2023,SBI
INE465A01025,FORGINGS - LARGE,781329,578847589.65,0.0718,BHARAT FORGE LTD.,8,2022,SBI
INE465A01025,FORGINGS - LARGE,781329,543414319.5,0.0673,BHARAT FORGE LTD.,9,2022,SBI
INE465A01025,FORGINGS - LARGE,736626,614493409.2,0.0748,BHARAT FORGE LTD.,10,2022,SBI
INE465A01025,FORGINGS - LARGE,736626,633166878.3,0.0752,BHARAT FORGE LTD.,11,2022,SBI
INE465A01025,FORGINGS - LARGE,814922,717009121.7,0.0845,BHARAT FORGE LTD.,12,2022,SBI
INE465A01025,FORGINGS - LARGE,936166,818302700.6,0.0958,BHARAT FORGE LTD.,1,2023,SBI
INE029A01011,REFINERIES,1993845,655277159.25,0.0812,BHARAT PETROLEUM CORPORATION LTD.,8,2022,SBI
INE029A01011,REFINERIES,2323363,708161042.4,0.0877,BHARAT PETROLEUM CORPORATION LTD.,9,2022,SBI
INE029A01011,REFINERIES,2323363,705489174.95,0.0858,BHARAT PETROLEUM CORPORATION LTD.,10,2022,SBI
INE029A01011,REFINERIES,2323363,792615287.45,0.0941,BHARAT PETROLEUM CORPORATION LTD.,11,2022,SBI
INE029A01011,REFINERIES,2323363,767871471.5,0.0905,BHARAT PETROLEUM CORPORATION LTD.,12,2022,SBI
INE029A01011,REFINERIES,2323363,797494349.75,0.0934,BHARAT PETROLEUM CORPORATION LTD.,1,2023,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4492857,3264509896.2,0.4047,BHARTI AIRTEL LTD.,8,2022,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4492857,3593836314.3,0.4453,BHARTI AIRTEL LTD.,9,2022,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4492857,3738057024.0,0.4547,BHARTI AIRTEL LTD.,10,2022,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4492857,3813312378.75,0.4527,BHARTI AIRTEL LTD.,11,2022,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4492857,3621692027.7,0.427,BHARTI AIRTEL LTD.,12,2022,SBI
INE397D01024,TELECOMMUNICATIONS - SERVICE PROVIDER,4596887,3540982056.1,0.4146,BHARTI AIRTEL LTD.,1,2023,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,185181,694012092.75,0.086,BRITANNIA INDUSTRIES LTD.,8,2022,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,171312,658360581.6,0.0816,BRITANNIA INDUSTRIES LTD.,9,2022,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,171312,645255213.6,0.0785,BRITANNIA INDUSTRIES LTD.,10,2022,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,123904,540506419.2,0.0642,BRITANNIA INDUSTRIES LTD.,11,2022,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,116939,503708895.55,0.0594,BRITANNIA INDUSTRIES LTD.,12,2022,SBI
INE216A01030,FOOD AND DAIRY PRODUCTS - MULTINATIONAL,116939,504895826.4,0.0591,BRITANNIA INDUSTRIES LTD.,1,2023,SBI
INE121A01024,FINANCE - LARGE,243214,192224184.9,0.0238,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,8,2022,SBI
INE121A01024,FINANCE - LARGE,243214,178081290.8,0.0221,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,9,2022,SBI
INE121A01024,FINANCE - LARGE,653720,463716282.0,0.0564,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,10,2022,SBI
INE121A01024,FINANCE - LARGE,736720,526644292.0,0.0625,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,11,2022,SBI
INE121A01024,FINANCE - LARGE,736720,532574888.0,0.0628,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,12,2022,SBI
INE121A01024,FINANCE - LARGE,736720,520824204.0,0.061,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,1,2023,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1006803,1045514575.35,0.1296,CIPLA LTD.,8,2022,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1006803,1122535004.85,0.1391,CIPLA LTD.,9,2022,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1006803,1175341822.2,0.143,CIPLA LTD.,10,2022,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1006803,1147403038.95,0.1362,CIPLA LTD.,11,2022,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1006803,1083269687.85,0.1277,CIPLA LTD.,12,2022,SBI
INE059A01026,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,1034803,1053377713.85,0.1233,CIPLA LTD.,1,2023,SBI
INE111A01025,,114673,79875478.15,0.0099,CONTAINER CORPORATION OF INDIA LTD.,8,2022,SBI
INE111A01025,,554673,394733040.45,0.0489,CONTAINER CORPORATION OF INDIA LTD.,9,2022,SBI
INE111A01025,,554673,442629054.0,0.0538,CONTAINER CORPORATION OF INDIA LTD.,10,2022,SBI
INE111A01025,,682019,526484567.05,0.0625,CONTAINER CORPORATION OF INDIA LTD.,11,2022,SBI
INE111A01025,,751684,555344139.2,0.0655,CONTAINER CORPORATION OF INDIA LTD.,12,2022,SBI
INE111A01025,,957259,601589418.55,0.0704,CONTAINER CORPORATION OF INDIA LTD.,1,2023,SBI
INE298A01020,ENGINES,288697,344300042.2,0.0427,CUMMINS INDIA LTD.,8,2022,SBI
INE298A01020,ENGINES,290851,347814168.35,0.0431,CUMMINS INDIA LTD.,9,2022,SBI
INE298A01020,ENGINES,290851,392038062.9,0.0477,CUMMINS INDIA LTD.,10,2022,SBI
INE298A01020,ENGINES,218280,308538780.0,0.0366,CUMMINS INDIA LTD.,11,2022,SBI
INE298A01020,ENGINES,200657,276986922.8,0.0327,CUMMINS INDIA LTD.,12,2022,SBI
INE298A01020,ENGINES,200657,288103320.6,0.0337,CUMMINS INDIA LTD.,1,2023,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1160500,677267800.0,0.084,DABUR INDIA LTD.,8,2022,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1307790,749298280.5,0.0928,DABUR INDIA LTD.,9,2022,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1427592,791885282.4,0.0963,DABUR INDIA LTD.,10,2022,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1325058,779597874.3,0.0926,DABUR INDIA LTD.,11,2022,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1432779,804433769.55,0.0948,DABUR INDIA LTD.,12,2022,SBI
INE016A01026,PERSONAL CARE - INDIAN - LARGE,1558779,869408987.25,0.1018,DABUR INDIA LTD.,1,2023,SBI
INE361B01024,,79979,290071836.15,0.036,DIVI'S LABORATORIES LTD.,8,2022,SBI
INE361B01024,,79979,296338190.8,0.0367,DIVI'S LABORATORIES LTD.,9,2022,SBI
INE361B01024,,79979,288636213.1,0.0351,DIVI'S LABORATORIES LTD.,10,2022,SBI
INE361B01024,,79979,272304501.3,0.0323,DIVI'S LABORATORIES LTD.,11,2022,SBI
INE361B01024,,79979,272984322.8,0.0322,DIVI'S LABORATORIES LTD.,12,2022,SBI
INE361B01024,,79979,265154378.7,0.031,DIVI'S LABORATORIES LTD.,1,2023,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,246946,1048298117.3,0.1299,DR. REDDY'S LABORATORIES LTD.,8,2022,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,246946,1070683772.2,0.1327,DR. REDDY'S LABORATORIES LTD.,9,2022,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,259946,1152522580.2,0.1402,DR. REDDY'S LABORATORIES LTD.,10,2022,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,261341,1172676268.15,0.1392,DR. REDDY'S LABORATORIES LTD.,11,2022,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,261341,1107445554.55,0.1306,DR. REDDY'S LABORATORIES LTD.,12,2022,SBI
INE089A01023,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,261341,1130077685.15,0.1323,DR. REDDY'S LABORATORIES LTD.,1,2023,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,129320,434353550.0,0.0538,EICHER MOTORS LTD.,8,2022,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,126372,463987435.2,0.0575,EICHER MOTORS LTD.,9,2022,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,126372,486589067.4,0.0592,EICHER MOTORS LTD.,10,2022,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,153650,535393425.0,0.0636,EICHER MOTORS LTD.,11,2022,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,167934,542048968.5,0.0639,EICHER MOTORS LTD.,12,2022,SBI
INE066A01021,AUTOMOBILES - LCVS/HCVS,167934,548027418.9,0.0642,EICHER MOTORS LTD.,1,2023,SBI
INE129A01019,GAS DISTRIBUTION,3881080,528214988.0,0.0655,GAIL (INDIA) LTD.,8,2022,SBI
INE129A01019,GAS DISTRIBUTION,5821620,506772021.0,0.0628,GAIL (INDIA) LTD.,9,2022,SBI
INE129A01019,GAS DISTRIBUTION,5821620,531513906.0,0.0647,GAIL (INDIA) LTD.,10,2022,SBI
INE129A01019,GAS DISTRIBUTION,5821620,551598495.0,0.0655,GAIL (INDIA) LTD.,11,2022,SBI
INE129A01019,GAS DISTRIBUTION,5821620,559166601.0,0.0659,GAIL (INDIA) LTD.,12,2022,SBI
INE129A01019,GAS DISTRIBUTION,5821620,553927143.0,0.0649,GAIL (INDIA) LTD.,1,2023,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,569057,525950932.25,0.0652,GODREJ CONSUMER PRODUCTS LTD.,8,2022,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,564442,513896218.9,0.0637,GODREJ CONSUMER PRODUCTS LTD.,9,2022,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,690442,572583550.6,0.0697,GODREJ CONSUMER PRODUCTS LTD.,10,2022,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,682324,601434489.8,0.0714,GODREJ CONSUMER PRODUCTS LTD.,11,2022,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,562092,491296512.6,0.0579,GODREJ CONSUMER PRODUCTS LTD.,12,2022,SBI
INE102D01028,PERSONAL CARE - INDIAN - LARGE,520974,475779505.5,0.0557,GODREJ CONSUMER PRODUCTS LTD.,1,2023,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,578401,804844991.5,0.0998,HAVELLS INDIA LTD.,8,2022,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,578401,780002668.55,0.0966,HAVELLS INDIA LTD.,9,2022,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,607652,739087127.6,0.0899,HAVELLS INDIA LTD.,10,2022,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,595936,747035572.8,0.0887,HAVELLS INDIA LTD.,11,2022,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,657154,722836542.3,0.0852,HAVELLS INDIA LTD.,12,2022,SBI
INE176B01034,ELECTRIC EQUIPMENT - SWITCHGEARS/RELAYS/CIRCUITS,680822,804561398.5,0.0942,HAVELLS INDIA LTD.,1,2023,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1559162,1463975159.9,0.1815,HCL TECHNOLOGIES LTD.,8,2022,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1559162,1453684690.7,0.1801,HCL TECHNOLOGIES LTD.,9,2022,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1472282,1532866404.3,0.1865,HCL TECHNOLOGIES LTD.,10,2022,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1346424,1509072019.2,0.1792,HCL TECHNOLOGIES LTD.,11,2022,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1346424,1399338463.2,0.165,HCL TECHNOLOGIES LTD.,12,2022,SBI
INE860A01027,COMPUTERS - SOFTWARE - LARGE,1346424,1510957012.8,0.1769,HCL TECHNOLOGIES LTD.,1,2023,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4374396,6500789895.6,0.8058,HDFC BANK LTD.,8,2022,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4374396,6217547754.6,0.7704,HDFC BANK LTD.,9,2022,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4374396,6547158493.2,0.7965,HDFC BANK LTD.,10,2022,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4331438,6966901451.1,0.8271,HDFC BANK LTD.,11,2022,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4331438,7052230779.7,0.8314,HDFC BANK LTD.,12,2022,SBI
INE040A01034,BANKS - PRIVATE SECTOR,4331438,6945460833.0,0.8132,HDFC BANK LTD.,1,2023,SBI
INE795G01014,MISCELLANEOUS - MEDIUM / SMALL,1075130,618414776.0,0.0767,HDFC LIFE INSURANCE COMPANY LTD.,8,2022,SBI
INE795G01014,MISCELLANEOUS - MEDIUM / SMALL,975868,517649180.6,0.0641,HDFC LIFE INSURANCE COMPANY LTD.,9,2022,SBI
INE795G01014,MISCELLANEOUS - MEDIUM / SMALL,975868,527407860.6,0.0642,HDFC LIFE INSURANCE COMPANY LTD.,10,2022,SBI
INE795G01014,MISCELLANEOUS - MEDIUM / SMALL,884962,522658557.2,0.062,HDFC LIFE INSURANCE COMPANY LTD.,11,2022,SBI
INE795G01014,MISCELLANEOUS - MEDIUM / SMALL,884962,501109732.5,0.0591,HDFC LIFE INSURANCE COMPANY LTD.,12,2022,SBI
